u,v,t,h
8538,53245,82,9
32991,41149,39,4
30104,35030,25,4
26292,48613,37,1
31603,32991,59,9
13203,26394,48,2
13935,26795,9,7
461,9389,86,7
43098,77787,49,1
4935,81433,47,1
25176,74278,41,4
41576,74959,23,6
12189,42257,44,7
6360,65886,54,3
28694,73078,75,8
34650,49924,99,1
20513,29687,32,5
245,24802,48,6
268,57289,59,2
26878,47938,38,4
35617,40165,3,9
32756,46761,59,6
31890,68727,8,9
16834,66988,40,4
46296,47792,66,3
30268,36601,78,1
4974,32215,23,5
12323,18821,99,0
30589,33377,82,6
13454,18943,67,2
19701,48363,49,5
58597,64925,64,1
10749,25170,84,3
23418,51770,32,2
34089,45742,63,4
67032,83552,19,6
11862,39998,79,3
20158,44800,81,1
8216,59331,18,8
10217,22377,53,0
26890,56921,73,1
3295,32896,3,8
28204,52641,21,2
28049,65077,10,8
41531,56033,71,4
5601,58335,42,4
30171,30649,4,8
69505,76176,98,0
28198,63733,25,3
37310,83984,52,5
74599,76617,57,1
39280,49323,50,9
29286,72342,10,6
122,75458,61,5
25960,81636,21,7
49957,64719,22,7
60388,68532,72,0
3115,26962,47,9
32074,80135,1,9
51368,78311,61,1
18241,58578,4,8
13454,78720,45,5
15220,58758,4,9
64026,66524,40,4
19413,82993,74,2
8101,14508,94,5
10429,29457,94,0
3718,19876,35,2
11484,62993,50,3
1030,27914,69,2
56033,62705,56,9
1520,61854,72,1
22377,81966,89,0
48271,63071,43,6
19551,67034,25,4
27417,58063,65,0
50288,60802,31,9
32215,81310,29,4
43907,79776,86,3
8101,55111,95,0
12496,42226,28,9
30589,76576,6,8
14917,28677,94,0
14917,61962,29,7
7997,40608,52,5
70503,77253,87,0
47602,54944,58,0
34010,54451,87,5
17729,71317,16,3
11396,20740,41,2
37897,49237,9,8
21565,69202,63,3
1161,72130,12,7
25455,62647,92,0
10778,82892,6,9
32288,62825,64,9
70603,82892,6,9
34144,79405,78,0
6588,47281,38,1
20977,29662,66,6
5931,59034,76,5
38544,66787,69,2
18288,55158,48,3
64565,66719,98,3
2777,10778,78,7
37826,54947,99,0
5931,39657,57,6
39013,64033,30,3
27449,83980,23,5
11966,38496,71,5
4634,34363,39,7
47404,71601,78,1
3749,22526,22,6
242,68339,1,9
27611,72302,46,7
16832,32215,21,5
2057,64553,63,9
40867,69571,4,9
59721,72759,10,8
63785,76546,68,6
42978,58949,69,7
42445,62353,45,1
392,30712,74,9
25863,39060,81,0
1490,25170,29,7
46146,78450,76,5
29195,34699,86,5
14238,76235,92,4
52097,54182,48,4
42192,69413,38,8
28362,82764,43,3
26330,33097,85,0
18759,29393,26,8
24327,24607,72,2
68381,69601,71,7
15391,51267,43,4
27691,70514,71,3
13919,37685,76,1
38359,39281,11,7
42170,83648,88,2
11569,12140,1,9
19876,46895,86,5
20901,83217,59,4
18774,61857,13,8
17414,45537,81,6
48152,51791,58,8
12031,32215,17,5
1850,30104,36,5
3475,34223,44,8
10935,60506,56,0
5947,44055,23,5
50408,61022,37,9
32215,67568,28,3
48362,78450,69,2
13093,83779,62,2
37490,37838,6,8
48889,73053,17,7
13933,51187,5,8
1327,46629,18,7
32215,58008,21,4
49133,84241,6,9
46732,64674,55,4
6381,58421,14,7
24436,53529,66,1
21143,41651,43,5
42645,69413,10,8
42326,71882,38,3
42326,55177,46,3
8709,82482,53,1
13815,74506,28,3
23529,55291,74,1
11333,79114,98,1
56396,60551,97,3
62310,68689,55,9
5976,28963,36,2
957,14585,27,6
43089,76415,36,4
67103,83019,94,6
34363,72690,15,8
4910,62520,55,1
59500,81881,34,5
15392,40564,39,6
242,71882,25,6
10193,40165,77,8
34908,60551,97,3
28328,53768,62,1
5716,33969,53,3
32215,77253,29,3
5860,49544,70,2
22391,42340,58,1
527,20326,32,4
43145,69542,36,3
19314,50610,48,5
8244,65472,10,9
33681,51132,22,8
14430,74091,65,1
42993,67062,24,6
13074,67854,60,2
46647,72946,3,4
40,63959,38,7
24136,31460,24,5
2570,46136,57,4
2570,26751,64,6
8709,30377,32,3
60551,76223,97,0
18774,81801,84,4
5105,20875,77,3
29639,71300,53,1
19276,47436,83,0
39690,62791,44,2
245,7223,32,5
32215,65921,19,4
8298,73927,90,0
26593,32215,28,2
4098,7528,72,3
8802,76197,88,0
16443,46126,93,1
34737,36727,19,8
14804,54467,27,5
37343,59632,15,3
12901,13229,35,5
65519,72444,82,2
4292,23529,20,9
18733,64649,69,0
1940,69512,52,6
1893,32215,20,3
13820,32215,27,5
6588,15068,55,2
23084,55291,57,1
45446,77866,90,1
1474,3509,99,0
32421,40673,74,2
30714,62177,82,2
20608,29729,88,3
29393,33657,56,5
18943,56396,87,3
3805,18329,11,6
8844,53433,74,3
1096,66988,59,1
